"MonthsonHousingRegister","FamilyType","PeopleonApplication","DisabilityApplicationFlag","AtRiskOfOrExperiencingHomelessnessFlag"
72," Single Person",1,"No","No"
71," Single Parent,  Children",3,"No","Yes"
71," Single Person",1,"Yes","No"
71," Single Person",1,"No","Yes"
71," Single Person",1,"No","No"
71," Single Person",1,"No","Yes"
71," Single Person",1,"No","No"
71," Single Person",1,"Yes","Yes"
71," Single Person",1,"Yes","No"
71," Single Parent,  Child",2,"Yes","Yes"
71," Single Person",1,"No","No"
71," Single Person",1,"Yes","No"
72," Single Person",1,"Yes","Yes"
71," Single Person",1,"No","Yes"
71," Single Person Over ",1,"Yes","No"
71," Single Person Over ",1,"Yes","No"
71," Single Person",1,"Yes","No"
70," Single Person",1,"Yes","No"
71," Single Person",1,"Yes","No"
70," Single Person",1,"No","No"
71," Single Person",1,"Yes","No"
70," Single Person",1,"No","No"
70," Single Parent,  Children",3,"Yes","No"
70," Single Person",1,"Yes","No"
70," Single Person Over ",1,"Yes","No"
70," Single Person",1,"Yes","No"
70," Single Parent,  Child",2,"No","Yes"
70," Single Person",1,"Yes","No"
37," Single Parent, > Children",4,"No","Yes"
70," Single Person",1,"Yes","Yes"
70," Single Person",1,"Yes","Yes"
71," Single Person Over ",1,"Yes","Yes"
70," Single Person",1,"No","No"
70," Single Person",1,"Yes","Yes"
71," Single Parent,  Child",2,"No","No"
49," Single Parent, > Children",5,"No","Yes"
70," Single Person",1,"Yes","Yes"
71," Single Person Over ",1,"Yes","No"
70," Single Person Over ",1,"Yes","No"
70," Single Parent, > Children",5,"Yes","No"
70," Single Person",1,"No","No"
70," Single Person",1,"Yes","No"
56," Single Person",1,"Yes","No"
72," Single Parent, > Children",5,"Yes","Yes"
70," Single Person",1,"No","No"
70," Single Person",1,"No","Yes"
71," Single Person",1,"Yes","No"
70," Single Parent,  Child",2,"No","Yes"
70," Single Person",1,"Yes","No"
70," Single Person",1,"No","Yes"
70," Other",2,"No","No"
70," Other",3,"Yes","No"
70," Single Person",1,"Yes","Yes"
71," Single Person",1,"No","No"
70," Single Person",1,"Yes","Yes"
70," Single Person",1,"Yes","No"
70," Single Parent,  Child",2,"Yes","No"
70," Single Parent,  Children",3,"Yes","No"
69," Single Person",1,"No","Yes"
70," Single Parent, > Children",5,"No","Yes"
70," Single Parent, > Children",5,"No","Yes"
69," Single Person Over ",1,"Yes","No"
71," Single Person",1,"Yes","No"
69," Single Parent,  Child",2,"No","No"
69," Single Parent,  Child",2,"Yes","Yes"
69," Single Person",1,"No","Yes"
69," Single Person",1,"No","Yes"
70," Single Parent, > Children",5,"No","Yes"
69," Single Person",1,"Yes","No"
69," Single Parent, > Children",4,"Yes","No"
69," Single Person",1,"No","Yes"
69," Single Person",1,"Yes","No"
69," Single Person",1,"Yes","No"
69," Single Person",1,"No","No"
69," Single Person",1,"No","No"
69," Single Person",1,"Yes","Yes"
69," Single Person",1,"No","Yes"
69," Single Person",1,"Yes","No"
69," Single Person",1,"Yes","Yes"
69," Single Person",1,"No","Yes"
44," Single Parent, > Children",4,"No","No"
69," Single Person",1,"No","Yes"
69," Single Person",1,"Yes","Yes"
69," Single Person",1,"No","Yes"
69," Single Person",1,"No","No"
69," Single Parent, > Children",4,"Yes","No"
69," Single Person Over ",1,"Yes","Yes"
69," Single Person",1,"No","Yes"
53," Single Person",1,"Yes","No"
69," Single Parent, > Children",4,"No","No"
69," Single Person",1,"No","No"
20," Single Person",1,"No","No"
69," Single Person Over ",1,"Yes","Yes"
69," Single Person",1,"No","No"
69," Single Person",1,"No","No"
69," Single Person",1,"No","Yes"
68," Single Person",1,"Yes","Yes"
69," Single Parent, > Children",4,"No","Yes"
62," Single Parent, > Children",6,"Yes","Yes"
68," Single Person",1,"Yes","Yes"
68," Single Person Over ",1,"Yes","No"
68," Single Person Over ",1,"Yes","No"
68," Single Person Over ",1,"Yes","No"
68," Single Person",1,"No","Yes"
68," Single Person",1,"No","No"
68," Single Person",1,"No","No"
68," Single Person",1,"No","No"
68," Single Person Over ",1,"Yes","No"
68," Single Person",1,"Yes","Yes"
68," Single Person Over ",1,"Yes","No"
68," Single Person",1,"No","Yes"
68," Single Person",1,"Yes","Yes"
68," Single Person",1,"Yes","No"
68," Single Person",1,"Yes","No"
68," Single Person",1,"Yes","No"
68," Single Person Over ",1,"Yes","Yes"
68," Single Person",1,"Yes","Yes"
68," Single Person",1,"Yes","Yes"
68," Single Person Over ",1,"Yes","No"
68," Single Person",1,"No","No"
69," Single Person",1,"No","Yes"
68," Single Person",1,"No","Yes"
68," Single Person Over ",1,"Yes","No"
68," Single Person",1,"No","Yes"
68," Single Person",1,"Yes","No"
68," Single Person Over ",1,"Yes","No"
68," Single Person",1,"Yes","Yes"
68," Single Person",1,"Yes","No"
68," Single Person",1,"No","No"
68," Single Parent, > Children",7,"No","No"
69," Single Person",1,"Yes","No"
68," Single Person Over ",1,"Yes","No"
68," Single Parent, > Children",4,"No","No"
68," Single Parent, > Children",4,"No","Yes"
68," Single Person",1,"Yes","No"
68," Single Person Over ",1,"Yes","No"
68," Single Person",1,"Yes","Yes"
68," Single Person",1,"No","Yes"
68," Single Person Over ",1,"Yes","Yes"
68," Single Person Over ",1,"Yes","Yes"
68," Single Person",1,"No","No"
68," Single Person Over ",1,"Yes","Yes"
68," Single Person",1,"Yes","No"
68," Single Person",1,"Yes","Yes"
68," Single Person Over ",1,"Yes","No"
68," Single Parent,  Child",2,"No","No"
69," Single Person",1,"Yes","Yes"
68," Single Person",1,"Yes","No"
68," Single Person",1,"Yes","Yes"
68," Single Person Over ",1,"Yes","No"
68," Single Person",1,"Yes","Yes"
68," Single Person",1,"Yes","No"
67," Single Parent,  Children",3,"No","No"
67," Single Person Over ",1,"Yes","No"
68," Single Person",1,"No","No"
67," Single Parent,  Child",2,"Yes","No"
67," Single Parent,  Child",2,"No","No"
68," Single Person",1,"Yes","Yes"
68," Single Parent, > Children",5,"No","Yes"
56," Single Parent,  Children",3,"No","Yes"
67," Single Person",1,"Yes","No"
67," Single Person",1,"Yes","Yes"
67," Single Person Over ",1,"Yes","No"
67," Single Person",1,"Yes","No"
67," Single Person",1,"No","Yes"
67," Single Parent,  Child",2,"Yes","Yes"
67," Single Parent,  Child",2,"Yes","No"
67," Single Person",1,"No","Yes"
57," Single Person",1,"Yes","Yes"
68," Single Person Over ",1,"Yes","No"
68," Single Person Over ",1,"Yes","No"
67," Single Person",1,"No","Yes"
67," Single Person",1,"No","No"
67," Single Parent, > Children",4,"No","Yes"
67," Single Parent,  Child",2,"Yes","No"
67," Single Person",1,"Yes","Yes"
67," Single Person",1,"No","No"
67," Single Parent,  Child",3,"No","No"
67," Single Parent, > Children",7,"No","No"
67," Single Person",1,"Yes","Yes"
68," Single Person Over ",1,"Yes","No"
67," Single Person",1,"Yes","Yes"
67," Single Parent,  Child",2,"Yes","No"
67," Single Person",1,"Yes","No"
67," Single Parent, > Children",4,"No","Yes"
67," Single Person",1,"No","No"
70," Single Parent,  Child",2,"No","Yes"
67," Single Parent,  Child",2,"No","No"
67," Single Parent, > Children",5,"No","Yes"
67," Single Parent,  Children",3,"No","Yes"
70," Single Parent, > Children",5,"No","No"
67," Single Parent,  Child",2,"No","Yes"
67," Single Person",1,"Yes","Yes"
68," Single Parent,  Child",2,"No","No"
47," Single Person",1,"Yes","No"
66," Single Parent,  Children",3,"Yes","Yes"
68," Single Person",1,"No","No"
68," Single Parent, > Children",4,"No","No"
66," Single Parent, > Children",6,"No","Yes"
66," Single Person Over ",1,"Yes","No"
66," Single Person Over ",1,"Yes","No"
66," Single Person Over ",1,"Yes","No"
66," Single Parent, > Children",4,"Yes","No"
67," Single Person Over ",1,"Yes","No"
66," Single Person",1,"No","Yes"
66," Single Parent,  Children",3,"Yes","Yes"
52," Single Person",1,"Yes","Yes"
66," Single Parent, > Children",4,"No","Yes"
66," Single Person Over ",1,"Yes","No"
66," Single Person",1,"Yes","No"
66," Single Person",1,"No","Yes"
66," Single Person",1,"Yes","Yes"
66," Single Parent, > Children",4,"No","Yes"
66," Single Person",1,"Yes","Yes"
66," Single Person",1,"Yes","No"
66," Single Person Over ",1,"Yes","No"
66," Single Person Over ",1,"Yes","Yes"
66," Single Person",1,"No","No"
67," Single Person",1,"No","Yes"
67," Single Person",1,"No","Yes"
66," Single Person",1,"Yes","No"
63," Single Person",1,"Yes","Yes"
66," Single Person Over ",1,"Yes","Yes"
67," Single Person",1,"No","Yes"
67," Single Person",1,"No","No"
66," Single Person",1,"No","Yes"
66," Single Parent,  Children",3,"No","Yes"
65," Single Person",1,"No","No"
65," Single Person",1,"Yes","Yes"
65," Single Parent,  Children",3,"No","No"
65," Single Person",1,"No","No"
65," Single Parent,  Child",2,"No","No"
65," Single Person Over ",1,"Yes","No"
65," Single Person",1,"Yes","No"
66," Single Person Over ",1,"Yes","No"
65," Single Person",1,"Yes","Yes"
65," Single Person Over ",1,"Yes","No"
35," Single Parent, > Children",5,"Yes","No"
65," Single Person",1,"No","Yes"
65," Single Person",1,"No","No"
66," Single Person",1,"No","No"
65," Single Parent,  Children",3,"No","No"
65," Single Person Over ",1,"Yes","Yes"
65," Single Parent,  Children",3,"No","Yes"
65," Single Person Over ",1,"Yes","No"
65," Single Person",1,"No","Yes"
65," Single Person",1,"No","No"
65," Single Person Over ",1,"Yes","Yes"
65," Single Person",1,"Yes","Yes"
65," Single Parent,  Children",3,"No","Yes"
65," Single Person",1,"Yes","No"
65," Single Person",1,"Yes","No"
65," Single Person",1,"Yes","No"
65," Single Person",1,"Yes","No"
65," Single Person",1,"Yes","No"
65," Single Person",1,"Yes","No"
65," Single Person Over ",1,"Yes","Yes"
65," Single Person",1,"Yes","No"
65," Other",2,"No","No"
64," Single Person",1,"No","Yes"
64," Single Person Over ",1,"Yes","No"
56," Single Person Over ",1,"Yes","No"
65," Single Person",1,"No","Yes"
64," Single Person",1,"No","Yes"
64," Single Person",1,"No","Yes"
64," Single Person Over ",1,"Yes","No"
64," Other",5,"No","No"
66," Single Parent,  Children",3,"No","Yes"
64," Single Person",1,"No","Yes"
64," Single Parent,  Children",3,"No","No"
64," Single Person",1,"Yes","No"
